"language","files","total_lines","evidence","confidence","needs_confirm","note"
"other","64","3320","01-inventory.csv","fact","no",""
"java","43","5381","01-inventory.csv","fact","no",""
"xml","22","3129","01-inventory.csv","fact","no",""
"jsp","20","1472","01-inventory.csv","fact","no",""
"sql","3","550","01-inventory.csv","fact","no",""
"css","2","363","01-inventory.csv","fact","no",""
"shell","2","551","01-inventory.csv","fact","no",""
"properties","2","20","01-inventory.csv","fact","no",""
"html","2","221","01-inventory.csv","fact","no",""
